6.594,6.493
6.594,6.492
6.593,6.493
6.477,6.496
6.46,6.497
6.425,6.484
6.372,6.487
6.418,6.488
6.352,6.483
6.289,6.491
6.23,6.491
6.155,6.484
6.071,6.482
5.984,6.48
5.89,6.472
5.809,6.467
5.735,6.464
5.671,6.459
5.62,6.454
5.588,6.462
5.555,6.459
5.522,6.466
5.48,6.469
5.418,6.462
5.352,6.467
5.279,6.469
5.209,6.472
5.146,6.478
5.08,6.475
5.013,6.474
4.937,6.472
4.854,6.468
4.777,6.479
4.7,6.483
4.623,6.491
4.543,6.502
4.456,6.498
4.372,6.499
4.297,6.5
4.23,6.497
4.17,6.499
4.109,6.5
4.059,6.509
4.01,6.521
3.958,6.527
3.906,6.535
3.838,6.535
3.764,6.535
3.686,6.532
3.61,6.535
3.533,6.53
3.456,6.526
3.383,6.531
3.295,6.524
3.203,6.522
3.104,6.515
2.996,6.51
2.896,6.499
2.812,6.47
2.719,6.462
2.646,6.453
2.574,6.447
2.497,6.472
2.429,6.477
2.367,6.5
2.306,6.529
2.24,6.534
2.18,6.541
2.124,6.539
2.062,6.532
2.009,6.54
1.951,6.544
1.883,6.536
1.82,6.528
1.736,6.507
1.659,6.493
1.59,6.434
1.512,6.373
1.45,6.33
1.38,6.27
1.311,6.223
1.252,6.197
1.199,6.143
1.15,6.079
1.103,6.032
1.063,5.956
1.03,5.876
1.005,5.796
0.983,5.708
0.968,5.617
0.967,5.511
0.97,5.401
0.965,5.316
0.963,5.219
0.954,5.137
0.941,5.05
0.943,4.959
0.94,4.872
0.939,4.786
0.952,4.716
0.952,4.611
0.955,4.519
0.958,4.433
0.952,4.339
0.958,4.262
0.96,4.175
0.962,4.088
0.963,4.002
0.962,3.918
0.963,3.837
0.964,3.76
0.965,3.673
0.973,3.562
0.978,3.451
0.983,3.333
0.981,3.237
0.972,3.162
0.963,3.091
0.954,3.026
0.958,2.928
0.964,2.832
0.971,2.734
0.972,2.655
0.963,2.603
0.953,2.56
0.942,2.526
0.939,2.485
0.946,2.414
0.953,2.338
0.96,2.25
0.965,2.146
0.965,2.146
1.614,1.951
1.644,1.836
1.676,1.723
1.676,1.723
1.02,1.558
0.987,1.488
0.952,1.424
0.952,1.344
0.95,1.274
0.939,1.226
0.938,1.143
0.938,1.053
0.937,0.956
0.946,0.829
0.936,0.723
0.934,0.617
0.931,0.512
0.929,0.41
0.931,0.332
0.926,0.251
0.924,0.161
0.921,0.077
0.924,-0.028
0.922,-0.118
0.92,-0.208
0.918,-0.298
0.916,-0.379
0.917,-0.465
0.916,-0.538
0.917,-0.61
0.919,-0.694
0.92,-0.79
0.923,-0.887
0.922,-0.99
0.922,-1.086
0.922,-1.171
0.924,-1.253
0.919,-1.301
0.92,-1.364
0.907,-1.429
0.894,-1.496
0.894,-1.496
0.894,-1.496
4.746,-1.723
4.808,-1.795
4.808,-1.795
4.808,-1.795
4.808,-1.795
1.296,-2.047
1.382,-2.082
1.473,-2.112
1.562,-2.134
1.645,-2.148
1.715,-2.163
1.787,-2.167
1.862,-2.163
1.944,-2.156
2.031,-2.152
2.123,-2.151
2.225,-2.151
2.33,-2.149
2.431,-2.145
2.531,-2.134
2.633,-2.127
2.724,-2.124
2.817,-2.118
2.904,-2.119
2.976,-2.115
3.042,-2.115
3.091,-2.115
3.121,-2.115
3.136,-2.121
3.14,-2.128
3.143,-2.134
3.146,-2.14
3.146,-2.143
3.147,-2.143
3.136,-2.144
3.124,-2.142
3.115,-2.143
3.131,-2.121
3.173,-2.118
3.241,-2.12
3.324,-2.113
3.405,-2.127
3.564,-2.125
3.641,-2.135
3.699,-2.141
3.734,-2.173
3.79,-2.164
3.842,-2.156
3.918,-2.149
4.03,-2.119
4.155,-2.115
4.27,-2.115
4.371,-2.122
4.469,-2.121
4.553,-2.122
4.653,-2.119
4.764,-2.096
4.865,-2.096
4.955,-2.092
5.03,-2.087
5.102,-2.099
5.191,-2.081
5.272,-2.08
5.361,-2.081
5.445,-2.078
5.506,-2.097
5.585,-2.096
5.672,-2.097
5.765,-2.108
5.898,-2.087
5.994,-2.091
6.094,-2.083
6.194,-2.069
6.257,-2.077
6.343,-2.068
6.397,-2.063
6.429,-2.066
6.448,-2.07
6.46,-2.068
6.476,-2.077
6.496,-2.072
6.513,-2.069
6.515,-2.071
6.519,-2.065
6.528,-2.06
6.539,-2.048
6.573,-2.031
6.615,-1.952
6.663,-1.91
6.72,-1.879
6.766,-1.844
6.806,-1.866
6.834,-1.85
6.862,-1.82
6.892,-1.791
6.918,-1.769
6.941,-1.734
6.949,-1.692
6.962,-1.644
6.97,-1.577
6.983,-1.515
6.998,-1.45
7.003,-1.375
7.01,-1.31
7.011,-1.237
7.011,-1.163
7.011,-1.086
7.006,-0.998
6.996,-0.9
6.981,-0.807
6.968,-0.721
6.964,-0.626
6.965,-0.535
6.971,-0.451
6.974,-0.373
6.977,-0.322
6.979,-0.282
6.972,-0.232
6.963,-0.184
6.948,-0.133
6.926,-0.075
6.899,-0.023
6.875,0.028
6.843,0.076
6.806,0.113
6.774,0.108
6.729,0.15
6.678,0.181
6.623,0.209
6.569,0.265
6.523,0.266
6.466,0.275
6.406,0.283
6.334,0.293
6.264,0.302
6.22,0.306
6.196,0.309
6.189,0.312
6.186,0.311
6.17,0.312
6.142,0.308
6.107,0.302
6.068,0.301
6.028,0.291
5.976,0.288
5.924,0.289
5.862,0.289
5.796,0.293
5.727,0.298
5.626,0.296
5.53,0.295
5.43,0.298
5.333,0.297
5.256,0.299
5.169,0.301
5.084,0.299
4.974,0.299
4.974,0.299
4.974,0.299
4.974,0.299
4.974,0.299
2.163,0.346
2.163,0.346
2.163,0.346
4.316,0.284
4.223,0.276
4.122,0.274
4.021,0.274
3.928,0.277
3.83,0.279
3.738,0.275
3.645,0.273
3.548,0.268
3.462,0.267
3.374,0.266
3.297,0.265
3.22,0.265
3.144,0.264
3.068,0.256
2.999,0.265
2.939,0.276
2.874,0.285
2.823,0.319
2.763,0.341
2.699,0.361
2.643,0.403
2.583,0.438
2.531,0.48
2.473,0.534
2.424,0.579
2.377,0.64
2.333,0.706
2.313,0.774
2.291,0.85
2.27,0.885
2.274,0.984
2.277,1.052
2.284,1.109
2.3,1.202
2.3,1.251
2.302,1.35
2.299,1.461
2.305,1.595
2.318,1.673
2.333,1.817
2.339,1.871
2.333,1.958
2.323,2.037
2.323,2.124
2.315,2.202
2.31,2.292
2.306,2.382
2.303,2.464
2.301,2.552
2.299,2.642
2.303,2.775
2.312,2.885
2.313,3.007
2.316,3.098
2.322,3.155
2.326,3.237
2.336,3.306
2.342,3.37
2.356,3.416
2.378,3.459
2.408,3.499
2.452,3.555
2.497,3.615
2.54,3.664
2.602,3.707
2.664,3.753
2.724,3.791
2.785,3.825
2.832,3.855
2.888,3.883
2.953,3.911
3.031,3.942
3.114,3.956
3.193,3.96
3.274,3.958
3.362,3.948
3.452,3.953
3.548,3.957
3.645,3.954
3.74,3.962
3.835,3.955
3.935,3.948
4.031,3.954
4.124,3.95
4.232,3.954
4.332,3.962
4.437,3.967
4.554,3.972
4.659,3.978
4.787,3.975
4.912,3.971
5.006,3.966
5.09,3.955
5.154,3.954
5.22,3.954
5.304,3.956
5.387,3.96
5.462,3.96
5.531,3.964
5.602,3.966
5.69,3.973
5.785,3.982
5.876,3.99
5.972,4.0
6.059,4.007
6.147,4.012
6.255,4.007
6.348,4.003
6.427,3.999
6.495,3.995
6.534,3.999
6.564,3.999
6.594,4.003
6.623,4.021
6.666,4.038
6.709,4.066
6.756,4.088
6.803,4.119
6.839,4.164
6.879,4.206
6.913,4.258
6.943,4.298
6.968,4.284
6.983,4.345
7.009,4.388
7.034,4.443
7.06,4.563
7.088,4.611
7.1,4.697
7.108,4.783
7.118,4.866
7.124,4.962
7.126,5.054
7.127,5.152
7.12,5.257
7.119,5.386
7.119,5.518
7.118,5.637
7.119,5.741
7.113,5.81
7.095,5.845
7.08,5.89
7.054,5.947
7.025,6.004
6.999,6.087
6.96,6.157
6.918,6.218
6.867,6.267
6.805,6.314
6.739,6.36
6.668,6.402
6.589,6.442
6.518,6.479
6.443,6.498
6.388,6.509
6.34,6.521
6.298,6.523
6.269,6.528
6.239,6.531
6.223,6.53
6.217,6.53
6.217,6.53
6.22,6.533
6.222,6.536
6.223,6.538
6.224,6.538
6.222,6.536
